name,symbol,category,chains,tvl,change_1d,change_7d,change_30d
Lume Finance,LUME,Farm,Cronos,39.95978055443754,-11.503342757815503,-34.00024499110515,0.0
SeaLightSwap,SEAS,Dexs,Polygon,39.46498117440299,,,0.0
WaterDendy,WD,Yield,Arbitrum,39.396342610808134,0.5347591368075371,-4.031583632834497,0.0
ELYFI,ELFI,RWA,"Ethereum, Binance, Klaytn",39.184152196976605,0.008779692657938654,-0.006390426253915393,0.0
ENNI,ENNI,CDP,Ethereum,38.49533077941281,,,0.0
Opankeswap,-,Dexs,Op_Bnb,38.26986868630302,2.095215190951947,-1.7635760071589033,0.0
SquaDeFi,-,SoFi,Base,38.08905281638084,0.006138848558407517,-0.0034901355708001347,0.0
Meow Protocol,-,Lending,"Scroll, Ethereum",37.83557603897549,,,0.0
Synthetix V3,SNX,Derivatives,"Base, Ethereum, Arbitrum",37.76682363751419,0.00917763257153581,-99.99988211765856,0.0
Ice Colony,ICE,Yield,Polygon,37.47232424408077,5.137034165664687,3.38306951629707,0.0
Bondle,-,Launchpad,Shibarium,37.33613504193046,-0.8872951677262222,-5.3375403906158,0.0
Bits,BITS,Yield,"Base, CORE, Ethereum",37.22835323577938,-0.19694123528581997,-5.546463380836059,0.0
VampireSwap,VAM,Dexs,Fantom,37.20214733090206,-7.8990343419690845,-19.539871283239435,0.0
TanukiX,-,Dexs,Taiko,36.95666390424073,,,0.0
Nexter,-,Prediction Market,"Polygon, Mantle",36.618086399172036,-0.47612617189530226,-10.949933113186717,0.0
Ajira Pay Finance V1,AJP,Payments,"Polygon, Kava",36.53109937747251,0.027145114805065873,-0.05120693387826236,0.0
MoveFlow,-,Payments,"EDU Chain, Aptos",36.45202263638927,0.22271610479967308,0.3451003265306838,0.0
BitZap yUSD,-,CDP,Bitlayer,36.18546172567535,3.217189146104559,-5.013822334662237,0.0
Ultrasolid V2,US,Dexs,Hyperliquid L1,35.929203927197044,3.9171759142004703,2.178396998284299,0.0
Fuzz Finance,FUZZ,Dexs,Harmony,35.426987018893065,3.8211825846295397,-10.572134277427182,0.0
EraLend,-,Lending,"Telos, zkSync Era",35.27984882198007,0.08643580419163754,-0.3603598788916571,0.0
Philetairus Socius,SOCIUS,Dexs,Fantom,35.21008114673285,,,0.0
Life DAO,LF,Reserve Currency,Avalanche,34.78971439497758,-10.478571990626321,-36.67143940441653,0.0
CakeWSwap,CAKEW,Dexs,EthereumPoW,34.565755653708536,-0.03276956575015788,-0.35005322036299447,0.0
Tethys Perpetual,TETHYS,Derivatives,Metis,34.548627165216715,0.8906510839467217,-8.801234480108306,0.0
CroVegas,-,Luck Games,Cronos,34.44115071594355,-22.059824544363778,-34.746057001432476,0.0
S Finance,SFG,Dexs,Ethereum,34.09600419421042,-0.0179282805518568,-0.025347388784282998,0.0
Securo Finance,-,Indexes,"Binance, Avalanche, Aurora, Polygon",34,0,0,0.0
Bundie,-,Yield Aggregator,"Arbitrum, Avalanche, Base, Scroll, Optimism",33.62909533240615,-0.00894714901122029,-0.020725288000093656,0.0
Convertibles,-,Options,Ethereum,33.5997461558319,3.564704142176268,-6.972634295731567,0.0
BaptSwap V2,-,Dexs,Aptos,33.540814536912166,-0.031328521649214736,-1.2201255335255468,0.0
TydeShift,TYDE,Dexs,Sui,32.97500101887603,0.8253396594315063,-0.877940868692022,0.0
Camel Farm,CAMEL,Farm,Arbitrum,32.81204669233273,0.29135718561823865,-3.8967959763790816,0.0
Valorem,-,Options Vault,Arbitrum,32.669414640574324,0.025639541247215902,-8.043056913631645,0.0
GmCash,GMC,Algo-Stables,Arbitrum,32.54804270603168,1.2116525913123013,-7.012805980246057,0.0
Interest Curve,-,Dexs,Movement,32.46293717156961,-0.16290111282491182,-4.129544321572283,0.0
Spiral Fi Mixer,SPIRAL,Privacy,"zkSync Era, Polygon zkEVM",31.990307359874816,0.00020031176400436834,-0.001059513843031823,0.0
Island Stake,-,Liquid Staking,TON,31.433225534253285,-0.3865951767384814,-1.466175634051325,0.0
SaharaDAO,MNG,Algo-Stables,Cronos,31.331205848807137,0.028883856803446406,-2.2143221129311,0.0
zkDefi,-,Dexs,Polygon zkEVM,31.159734741544572,-0.3632058408292522,-7.399010579906758,0.0
ChocoBase,Choco,Farm,Base,30.742689505970873,3.542618622278539,-7.514377363325508,0.0
WhaleHub,BLUB,Farm,Stellar,30.690465130529017,1.4932592317276914,-14.436921592890073,0.0
CHOPCORP,LOG,Gamified Mining,Solana,30.65008224214523,6.7116291950625,5.435097730793743,0.0
TruCore,-,RWA,Solana,29.993864628944365,0.010802292075169362,99.98568870015572,0.0
CurrentX V2,CRX,Dexs,MegaETH,29.927234396062182,0.6020640950295189,-2.8652640692317135,0.0
polyfriend.tech,-,SoFi,Polygon,29.900865768859248,1.3176386516923486,-9.155980020552278,0.0
