name,symbol,category,chains,tvl,change_1d,change_7d,change_30d
Binance CEX,BNB,CEX,"Ethereum, Bitcoin, Binance, Solana, Tron, Ripple, Doge, Arbitrum, Base, Plasma, Avalanche, Polygon, Litecoin, Near, TON, Hedera, Aptos, Optimism, Sonic, Stellar, Celo, Algorand, Op_Bnb, Ronin, Chiliz, zkSync Era, Manta, Scroll, Starknet, Polkadot, Sui, Fantom",134135725653.00348,2.124933399875985,-3.048553335777015,0.0
OKX,-,CEX,"Ethereum, Bitcoin, Tron, Solana, Doge, Ripple, Litecoin, TON, Arbitrum, Aptos, Linea, Avalanche, Optimism, Base, zkSync Era, Scroll, Starknet, Polygon, Polkadot",21499774372.565422,0.801940370101704,-1.897963313363448,0.0
Bitfinex,-,CEX,"Bitcoin, Ethereum, Tron, Solana, Avalanche, Near, Polygon, Litecoin, Tezos, Algorand, EOS, Cosmos, Aptos, Elrond, Cardano, EthereumClassic, Fantom, Doge, Zilliqa, Polkadot",16190424065.19109,1.4965573267383405,-2.3518562969804293,0.0
Lido,LDO,Liquid Staking,"Ethereum, Solana, Moonbeam, Moonriver, Terra",14371390459.811144,3.7775873810279847,-6.2207915650687795,0.0
Bybit,-,CEX,"Ethereum, Bitcoin, Tron, Solana, Mantle, Binance, Ripple, Avalanche, Arbitrum, Doge, Aptos, Sui, Hyperliquid L1, Base, Optimism, Polygon, Litecoin, TON, Kava, Linea, Celo, Klaytn, zkSync Era, Sonic, Plasma, Cosmos, dYdX, Cardano, Manta, Arbitrum Nova, EOS, Scroll, Starknet, Taiko, Fantom, Polkadot",13394312303.529428,2.0138577937354114,-3.644245284305086,0.0
Aave V3,AAVE,Lending,"Ethereum, Plasma, Arbitrum, Base, Avalanche, Binance, Polygon, Mantle, MegaETH, X Layer, xDai, Optimism, Linea, Sonic, Celo, Scroll, zkSync Era, Metis, Soneium, Fantom, Harmony",11887156766.009113,3.029975982411173,-3.456061302487541,0.0
Robinhood,-,CEX,"Bitcoin, Ethereum, Polygon, Avalanche",10654532044.89882,1.1076183378145146,-5.454111050373285,0.0
SSV Network,SSV,Staking Pool,Ethereum,7820648572.869391,4.366956364594699,-37.83604493741856,0.0
LayerZero V2,ZRO,Bridge,"Ethereum, Arbitrum, Base, Avalanche, Polygon, Stable, Abstract, Binance, Plasma, Hemi, Citrea, Hyperliquid L1, Flare, Fraxtal, Celo, Berachain, Optimism, Fantom, Mantle, Metis, Katana, zkSync Era, TAC, Astar, Peaq, Ink, RSK, Blast, Mode, Canto, Nibiru, Monad, Sonic, xDai, Linea, X Layer, Kava, Plume Mainnet, Swellchain, Unichain, BOB, Op_Bnb, World Chain, Taiko, Lisk, Scroll, Tempo, Conflux, MegaETH, Moonriver, Harmony, Hedera, Soneium, Goat, Manta, Flow, Klaytn, Sei, XDC, Morph",7359032072.952568,-0.3454176036329244,-2.566845281051954,0.0
WBTC,-,Bridge,Bitcoin,6860804894.099611,2.6500001372894246,-5.085052394087015,0.0
Morpho Blue,MORPHO,Lending,"Ethereum, Base, Hyperliquid L1, Monad, Katana, Flare, World Chain, Arbitrum, Stable, Sei, Tempo, Plume Mainnet, Optimism, Citrea, Etherlink, Polygon, Hemi, Unichain, Celo, TAC, Klaytn, Abstract, Lisk, Soneium, Fraxtal, Corn, Sonic, Binance, 0G, Scroll, Botanix, Ink, Zircuit, xDai, Linea, Bitlayer, Mode",6584253026.638597,2.142590082015957,-4.930176740608999,0.0
Binance staked ETH,-,Liquid Staking,"Ethereum, Binance",5861381325.034793,3.512317171152432,-7.087067267004457,0.0
Sky Lending,SKY,CDP,Ethereum,5608785501.605256,1.3332692533280408,-2.550693124899013,0.0
Hyperliquid Bridge,HYPE,Bridge,"Hyperliquid L1, Arbitrum",5581272061.851496,-0.950348450237442,-4.002100000396908,0.0
Coinbase Bridge,-,Bridge,"Bitcoin, Ripple, Doge, Litecoin, Cardano",5406056680.753007,2.573531382050504,-0.6473460352611511,0.0
Bitget,-,CEX,"Bitcoin, Ethereum, Solana, Binance, Tron, Ripple, Arbitrum, Polygon, Base, Cardano, Avalanche, Sonic, TON, Optimism, Cronos, zkSync Era, Klaytn, Metis, Starknet, Sui, Fantom, Kava, Hyperliquid L1, Doge",4930326732.298211,2.173290223603999,12.04315245889289,0.0
MEXC,-,CEX,"Ethereum, Bitcoin, Solana, Tron, Binance, Ripple, Arbitrum, TON, Aptos, Base, Avalanche, Optimism, Polygon, Klaytn, Starknet",4685087687.0465,0.89315763936672,-1.9931718950499686,0.0
Ethena USDe,ENA,Basis Trading,Ethereum,4462498698.497995,-0.19270134730336963,-0.8454608005278743,0.0
EigenCloud,EIGEN,Restaking,Ethereum,4349427364.758622,3.2224423066936794,-7.955008618412904,0.0
Gemini,-,CEX,"Bitcoin, Ethereum",4197863520.235933,1.8781711699116244,-5.478058614728383,0.0
Gate,GT,CEX,"Ethereum, Bitcoin, Binance, Solana, Doge, Tron, Base, Ripple, Sui, Litecoin, Optimism, Arbitrum, EthereumClassic, Celo, Manta, Klaytn, Avalanche, Linea, Cardano, Aptos, XDC, zkSync Era, Cronos, Flare, Terra, Polygon, Algorand, WEMIX, VeChain, Celestia, dYdX, Metis, Ergo, Alephium, Mantle, Injective, CORE, EOS, Stacks, X Layer, Scroll, Cosmos, LUKSO, Starknet, Theta, Vana, Moonriver, RSK, Ronin, Harmony, Moonbeam, Shibarium, Agoric, Elrond, Osmosis, Chiliz, Radix, Tezos, Acala, IoTeX, ApeChain, Dymension, ZetaChain, Op_Bnb, Oasys, Astar, REI, ThunderCore, XPLA, Fuse, Aura Network, Merlin, Bitkub, Neon, BandChain, Bitlayer, Mode, Boba, Neutron, Bifrost, Blast, Matchain, Etherlink, Zircuit, Meter, zkLink, Aurora, Taiko, Arbitrum Nova, EnergyWeb, Polygon zkEVM, Fantom, BSquared, Bittorrent, AirDAO, EOS EVM, Kardia, Kroma, Fuel, Polkadot, HAQQ, OKExChain, Umee, TomoChain, Bahamut, Sei, Songbird",4191649152.8601484,1.6163525475008953,-8.237897595201986,0.0
Binance Bitcoin,-,Bridge,Bitcoin,4100383116.6767836,2.6500001372894246,-5.085052394087029,0.0
HTX,-,CEX,"Tron, Bitcoin, Ethereum, Ripple, Doge, Solana, Cardano, Litecoin, TON, Binance, Arbitrum, Sui, Avalanche, CORE, EOS, Polygon, Starknet, Optimism, Algorand",3913233256.8361273,0.318731435535085,-2.251579120066495,0.0
USDT0,-,Bridge,Ethereum,3646134564.401756,0.05924935881644444,-0.7204756684563449,0.0
Deribit,-,CEX,"Bitcoin, Ethereum, Solana, Ripple, Binance, EthereumPoW",3577709185.487621,-0.5903283538108042,-8.574374998881936,0.0
SparkLend,SPK,Lending,"Ethereum, xDai",3442621781.9961343,3.9603037911745105,2.28493644697582,0.0
Circle USYC,-,RWA,"Binance, Ethereum, Noble, Near",3106125475.5946517,-0.8098989218721186,1.1240029126518465,0.0
Babylon Protocol,BABY,Restaking,Bitcoin,3087193372.234575,2.6913556400222944,-4.937054510274564,0.0
BlackRock BUIDL,BUIDL,RWA,"Ethereum, Aptos, Solana, Avalanche, Binance, Optimism, Arbitrum, Polygon",3054386054.620449,-0.20541731488749804,0.8958966301655806,0.0
JustLend V1,JST,Lending,Tron,2994800631.4198346,2.3642775941590912,-1.8258775761822363,0.0
Tether Gold,XAUt,RWA,"Ethereum, Monad, Plasma, Avalanche, Arbitrum, Celo, Polygon, Ink",2903757703.177185,1.8530863387537693,-1.8153234513374343,0.0
Polygon Bridge,POL,Chain,Ethereum,2743408812.2958207,0.7005523493721597,22.179349453532964,0.0
ether.fi Stake,ETHFI,Liquid Restaking,"Ethereum, Arbitrum, Base",2638422570.1081915,3.5337923391302297,-7.186248187041926,0.0
Arbitrum Bridge,ARB,Canonical Bridge,Ethereum,2600358960.036961,3.103591853099246,-5.1864340744442075,0.0
Ondo Yield Assets,ONDO,RWA,"Ethereum, Stellar, Sei, Ripple, Solana, Mantle, Sui, Noble, Aptos, Arbitrum, Polygon, Plume Mainnet",2560314103.0489435,-1.1876553701955999,-3.122053041056475,0.0
Grove Finance,-,Onchain Capital Allocator,"Ethereum, Avalanche, Base, Plume Mainnet",2499836251.9782104,-0.2459757070809303,-0.27408848636859773,0.0
KuCoin,-,CEX,"Ethereum, Bitcoin, Solana, Tron, Ripple, Binance, Doge, Arbitrum, Cardano, Avalanche, Base, Optimism, TON, Near, Polygon, Aptos, Kucoin, Kava, EOS, Algorand, Starknet, Sui, Polkadot",2345816316.9050527,1.6297178760757305,-2.73606912668302,0.0
Base Bridge,-,Canonical Bridge,Ethereum,2122370280.760196,5.370014406985007,-6.943874675973646,0.0
Steakhouse Financial,-,Risk Curators,"Base, Ethereum, Monad, Solana, Katana, Arbitrum, Polygon, Corn, Unichain",2118496197.142922,-0.17947883700306022,1.2296121835290847,0.0
Portal,W,Bridge,"Ethereum, Algorand, Binance, Solana, Sui, Polygon, Near, Avalanche, Base, Arbitrum, Aptos, Optimism, Moonbeam, Celo, Klaytn, Terra, Oasis, Aurora, Fantom, Karura, Acala, Terra2, Injective, XPLA",2070871232.7880213,2.251872746696378,1.5203568463498982,0.0
Sentora,-,Risk Curators,"Ethereum, Ink, Solana, Tempo",2035132784.7257764,0.1727384841070574,0.28867179999359394,0.0
Maple,SYRUP,Lending,"Ethereum, Solana",2029702897.8794324,-6.196884834711,-2.999137666370274,0.0
Spark Liquidity Layer,SPK,Onchain Capital Allocator,"Ethereum, Arbitrum, Base, Optimism, Unichain, Avalanche",2021325912.775192,0.6643418416286977,-3.4630666544046846,0.0
Crypto-com,-,CEX,"Bitcoin, Ethereum, Polygon, Binance, Avalanche, Arbitrum, Optimism, Fantom",1888536749.6553364,1.6762720165801,-7.325055846544714,0.0
Paxos Gold,PAXG,RWA,Ethereum,1842529717.018011,1.8980816231526205,-2.308182037893289,0.0
JustCryptos,JST,Bridge,Tron,1832153390.65,3.1285107032359605,-5.958031077649707,0.0
PancakeSwap AMM,CAKE,Dexs,"Binance, Ethereum, Aptos, zkSync Era, Base, Op_Bnb, Arbitrum, Linea, Polygon zkEVM, Monad",1689369895.2535095,0.6189564476545542,-1.8143561248913613,0.0
Centrifuge Protocol,CFG,RWA,"Ethereum, Avalanche, Base, Plume Mainnet, Pharos, Monad, Binance, Optimism, Arbitrum, Hyperliquid L1",1634999804.110687,0.0072847920381917675,0.062175860485737644,0.0
Spark Savings,SPK,Yield,"Ethereum, Arbitrum, Avalanche, Base, Optimism, Unichain",1557127998.0606606,1.1660621926555166,-1.9071441686154031,0.0
Gauntlet,-,Risk Curators,"Base, Binance, Ethereum, Stable, Katana, Solana, Arbitrum, Optimism, Hyperliquid L1, Polygon, Unichain, Tempo",1429618916.2596745,0.7660608480281894,-1.3556971505486217,0.0
Uniswap V3,UNI,Dexs,"Ethereum, Base, Arbitrum, Binance, Polygon, Optimism, X Layer, Plasma, xDai, Unichain, Celo, Avalanche, RSK, Nibiru, Monad, World Chain, 0G, XDC, Boba, Filecoin, zkSync Era, Mantle, Etherlink, Goat, Sei, BOB, Telos, Lens, Hemi, Sonic, Redbelly, Scroll, Linea, Blast, Taiko, Lisk, Polygon zkEVM, Moonbeam, Corn, Tempo, Manta, LightLink, Saga",1375651710.8345156,1.4926896191093562,-4.327150630377574,0.0
CCIP,-,Bridge,"Ethereum, Avalanche, Solana, Base, Ronin, Binance, Optimism, Arbitrum, BOB, Pharos, World Chain, zkSync Era, Astar, Polygon, Linea, 0G, HashKey Chain, Hyperliquid L1, Shibarium, Bittensor EVM, Sonic",1345904477.4804606,0.6543984168600758,3.044146271651968,0.0
Figure Markets Exchange,-,OTC Marketplace,Provenance,1338630503.0938022,0.2580287795804139,1.7635050135199606,0.0
USDD,-,CDP,"Tron, Ethereum, Binance",1308247127.827485,-0.6410370550857607,0.030386826711676918,0.0
HashKey Exchange,-,CEX,"Bitcoin, Ethereum, Tron, Solana, Doge, Aptos, Avalanche, TON, Litecoin, Arbitrum, Optimism, Polygon, Polkadot",1273464375.2623274,1.4346031750924482,-8.07651268428215,0.0
Falcon Finance,FF,Basis Trading,Ethereum,1252916903.1063423,-3.2617833219188412,-3.475622666584968,0.0
Curve DEX,CRV,Dexs,"Ethereum, Arbitrum, Fraxtal, Etherlink, Base, Monad, Polygon, Plasma, X Layer, Avalanche, Hyperliquid L1, xDai, Optimism, XDC, Binance, Fantom, TAC, Kava, Unichain, Celo, Taiko, Sonic, Aurora, Moonbeam, Plume Mainnet, Ink, Stable, Corn, Harmony, Mantle",1228036329.955807,0.35145479835578897,-14.184479478798991,0.0
Poloniex,-,CEX,"Ethereum, Bitcoin, Ripple, Tron, EthereumClassic, Stellar, Solana, Optimism, Cardano, Arbitrum, Polygon",1158806157.0019321,4.524457783086049,-4.36845576933905,0.0
Spiko,-,RWA,"Stellar, Arbitrum, Polygon, Ethereum, Base, Starknet, Etherlink",1128021645.6954546,2.620660145328003,-0.20149524898472748,0.0
Bitkub,KUB,CEX,"Bitcoin, Ethereum, Ripple, Binance, Solana, Optimism, Cardano, Doge, Arbitrum, Tron, Avalanche, Polygon, Base, Scroll, Algorand, zkSync Era, CORE, Mantle, Aptos, Litecoin, TON, Fantom",1124401841.1921031,2.931948252056273,-4.402493482368413,0.0
Kamino Lend,KMNO,Lending,Solana,1079708960.025999,1.6885725165830792,-0.11257625083318601,0.0
Veda,-,Onchain Capital Allocator,"Ink, Ethereum, Optimism, Hyperliquid L1, Plasma, Base, Arbitrum, Sonic, Berachain, Binance, BOB, Scroll",1042732288.5665212,1.7104970866217855,-3.120528214789161,0.0
Compound V3,COMP,Lending,"Ethereum, Arbitrum, Base, Optimism, Polygon, Mantle, Unichain, Ronin, Scroll",1041118353.1625689,2.3793633632942317,-2.3375802176181253,0.0
Sanctum Validator LSTs,CLOUD,Liquid Staking,Solana,1028295781.6421856,8.620650465952792,-0.4629981196565893,0.0
Uniswap V4,UNI,Dexs,"Ethereum, Base, Binance, Arbitrum, Polygon, Monad, Unichain, Soneium, Optimism, Avalanche, World Chain, X Layer, Tempo, Blast, Ink, Zora",998528743.3078331,-1.1775833122280375,13.025285150353042,0.0
Venus Core Pool,XVS,Lending,"Binance, Ethereum, Arbitrum, zkSync Era, Base, Unichain, Optimism, Op_Bnb",992961236.8568594,1.7750136603666817,-3.719020619672605,0.0
Ondo Global Markets,ONDO,RWA,"Ethereum, Binance, Solana",978379596.6568949,-0.013508691765778735,-6.222241163945,0.0
Blockchain Capital,BCAP,RWA,zkSync Era,975269240.33,0,-0.03735873727467265,0.0
Bitmex,BMEX,CEX,"Bitcoin, Ethereum, Tron, Solana, Binance, Ripple",961956905.8801802,2.0892433792727587,-4.808324775289776,0.0
Kinetiq kHYPE,-,Liquid Staking,Hyperliquid L1,957747479.3565333,3.268877625614479,-8.381533461083919,0.0
Pendle,PENDLE,Yield,"Ethereum, Arbitrum, Plasma, Monad, Hyperliquid L1, Binance, Base, Sonic, Mantle, Avalanche, Optimism, Berachain",934664569.3002623,-0.7202349767872676,-2.6260075372953224,0.0
Jupiter Lend,JUP,Lending,Solana,880852064.9182556,3.489565466418256,0.6366008147405324,0.0
Kelp,-,Liquid Restaking,"Ethereum, Arbitrum, Optimism, Manta, Mode, Blast, Scroll, Base, Linea, X Layer, zkSync Era, Zircuit, Swellchain, Hemi, Berachain, Sonic",879517642.8534276,1.1706328315248982,-10.586698284881521,0.0
Anemoy Capital,-,RWA,"Ethereum, Celo, Base",869756782.1404804,0.018569005106400027,0.13644748546164465,0.0
Rocket Pool,RPL,Liquid Staking,Ethereum,843297293.3339068,3.0517857288219687,-7.940816755899945,0.0
Raydium AMM,RAY,Dexs,Solana,837944084.9482282,6.450200345560248,2.4913226743774857,0.0
Bitstamp,-,CEX,"Ethereum, Ripple, Bitcoin, Litecoin, Solana, Avalanche, Near, Cardano, XDC, Sui",835646723.2195569,-4.795214021608331,-11.407260101986012,0.0
WisdomTree,-,RWA,"Ethereum, Stellar",775387836.7480779,-0.0018708804301610371,-3.3549483474731403,0.0
SwissBorg,BORG,CEX,"Bitcoin, Ethereum, Solana, Ripple, Binance, Hedera, Cardano, Avalanche, Doge, Polygon, Near, Optimism, Tron, Cosmos, Injective, TON, Arbitrum, Stellar, Algorand, Sei, Celestia, Sonic, Berachain, Moonbeam, Osmosis, xDai, Chiliz, Polkadot",762388794.5814245,3.5127422902139926,-4.529424338608862,0.0
Concrete,-,Onchain Capital Allocator,"Ethereum, Stable, Berachain, Arbitrum, Katana",760842400.606179,1.2472233612544699,-5.701180171573199,0.0
Binance Staked SOL,-,Liquid Staking,Solana,740300790.982553,7.856352469862827,1.6133673372401631,0.0
Ethena USDtb,ENA,RWA,Ethereum,735821832.5613544,-20.358875798572612,-19.728157302846,0.0
Uniswap V2,UNI,Dexs,"Ethereum, Base, Polygon, Arbitrum, Binance, Optimism, X Layer, Monad, Avalanche, Unichain, Tempo, Zora, Celo",729852659.6125005,-4.697460117692728,-6.596073427882246,0.0
Jito Liquid Staking,JTO,Liquid Staking,Solana,707758894.8099238,8.596993780010507,3.464737327012287,0.0
Jupiter Perpetual Exchange,JUP,Derivatives,Solana,683099586.7874086,5.500437471216884,2.1416997300686518,0.0
Function FBTC,-,Bridge,Bitcoin,643635124.2901032,2.6500001372894246,-5.087504438751637,0.0
Lista Lending,LISTA,Lending,"Binance, Ethereum",630127131.3238262,1.725980341273754,1.3323297248688988,0.0
Invesco USTB,-,RWA,"Ethereum, Solana, Plume Mainnet",618553040.8797199,-2.287373529438085,-26.46152571685954,0.0
Optimism Bridge,OP,Canonical Bridge,"Ethereum, Base, PGN",603104932.3559079,1.6524828215339795,-6.217647267276092,0.0
StakeWise V2,SWISE,Liquid Staking,"Ethereum, xDai",587010281.2709119,3.2793521596961313,-7.190758505280499,0.0
Fluid Lending,-,Lending,"Ethereum, Arbitrum, Plasma, Base, Polygon",583782354.486707,1.6724883490422968,1.080056653523954,0.0
xStocks,-,RWA,"Solana, Arbitrum",580169842.5763546,3.131359364921437,14.912362748517864,0.0
BingX,-,CEX,"Tron, Bitcoin, Ethereum, Binance, Solana, TON, Ripple, Arbitrum",571391213.0123967,-0.6527578344896909,-1.250688952285799,0.0
Obol,OBOL,Staking Pool,Ethereum,557522177.4702374,3.5545540802801554,-7.135018548273635,0.0
Liquid Collective,-,Liquid Staking,Ethereum,551224172.7896574,3.5545686442537203,-7.379939722773457,0.0
OSL HK,-,CEX,"Bitcoin, Ethereum, Solana, Tron, Ripple, Binance, Litecoin, Avalanche, Sei, Doge, TON, Polygon",531707111.5293336,3.2307019523224625,-4.543931826385986,0.0
Lombard LBTC,BARD,Restaked BTC,"Bitcoin, Ethereum",529143495.3981648,-0.24169699831352887,-6.808101933118621,0.0
Lista Liquid Staking,LISTA,Liquid Staking,Binance,511889323.63711995,2.4278200923907605,-2.6787542657583714,0.0
Lighter Bridge,LIT,Bridge,"Ethereum, Arbitrum",507508099.84684473,0.684280329435822,0.023756471334507978,0.0
Solstice,SLX,Basis Trading,Solana,505387047.69539493,0.018242543955125257,-0.4791700817321498,0.0
Aster Bridge,-,Bridge,"Binance, Ethereum, Arbitrum, Solana, Scroll",496041024.4896587,0.1172441754234228,-8.49201171696535,0.0
Convex Finance,CVX,Yield,"Ethereum, Fraxtal, Arbitrum, Polygon",470433483.6036802,0.35071843234639744,-6.336649144438084,0.0
World Chain,-,Canonical Bridge,Ethereum,437805962.0110042,2.3079677327831263,-21.454111183741375,0.0
HyperLend Pooled,HPL,Lending,Hyperliquid L1,436020181.9417942,1.9968427494571444,-5.514762897644616,0.0
Polymarket International,-,Prediction Market,Polygon,434652333.1472549,-4.190602534703842,2.140541367247522,0.0
Tornado Cash,TORN,Privacy,"Ethereum, Binance, Arbitrum, xDai, Avalanche, Polygon, EthereumClassic, Optimism",429026397.3324797,3.0344954576833345,-5.718817349472317,0.0
Unit,-,Bridge,"Bitcoin, Ethereum, Solana, Plasma, Monad",420737238.8358562,2.6939397168810615,-2.1819367328372294,0.0
Backpack,BP,CEX,"Solana, Bitcoin, Hyperliquid L1, Ethereum, Arbitrum, Aptos, Base, Monad, Sei, Optimism, Polygon, Sui, Binance, Ripple, Plasma, Tron, Doge, Stable, Eclipse, Avalanche, Litecoin, Fogo",415068523.9385737,1.8431707931747923,-4.602228797028417,0.0
Hastra,-,RWA,"Solana, Ethereum",404594054.25337315,-0.40678138984698364,2.5075517432567835,0.0
SolvBTC,SOLV,Bridge,"Bitcoin, Binance, Ethereum, Solana, Base, Arbitrum, X Layer, Mantle, Polygon, Merlin, Avalanche, BOB",387582205.86793196,2.752886855846313,-5.662428708789818,0.0
Jupiter Staked SOL,JUP,Liquid Staking,Solana,385335906.6582258,8.075865836460977,2.9197123932402747,0.0
Indodax,-,CEX,"Bitcoin, Ethereum, Solana, Binance, Tron, Optimism, Cardano, Polygon, Base, Litecoin, Arbitrum, Stellar, Sui, Avalanche, Algorand, Linea, EOS",382273714.6685164,3.6454429827304153,-3.63719322875167,0.0
DoubleZero Staked SOL,2Z,Liquid Staking,Solana,375708774.21795166,8.092770462157816,3.339289077782496,0.0
Korbit,-,CEX,"Bitcoin, Ethereum, Ripple",371554355.6105498,2.642403582335646,-5.263682992198667,0.0
Lorenzo enzoBTC,-,Bridge,Bitcoin,367484487.3050565,2.650000137289396,-3.6961804341989364,0.0
Kraken Bitcoin,-,Bridge,Bitcoin,366493460.6036522,2.6500001372894246,-5.085052394087015,0.0
mETH Protocol,COOK,Liquid Staking,Ethereum,363173902.81383693,3.5563386012445335,-6.766633467046091,0.0
Merlins Seal,MERL,Bridge,"Bitcoin, Ethereum, Arbitrum, Zkfair",358783584.3154544,2.248251445209462,-5.430573955211145,0.0
Bitvavo,-,CEX,"Bitcoin, Ethereum, Solana, Hyperliquid L1, Base, Plasma, Arbitrum, Optimism, Linea, Sonic, zkSync Era, Binance",350447393.29995865,3.7159900333243456,4.035311086531351,0.0
Avalon USDa,-,CDP,"Binance, Ethereum, Klaytn, Berachain, Sonic, Mantle",325640343.00760907,0.4686730907459662,-4.430654708017329,0.0
M0,POWER,Stablecoin Issuer,Ethereum,321439003.8019717,-3.6014995688295386,-4.142752600428409,0.0
Lista CDP,LISTA,CDP,Binance,310142912.6665946,1.3963489617209603,-4.237944042120418,0.0
tBTC,T,Decentralized BTC,"Bitcoin, Ethereum",308763953.07544047,2.8085700409331764,-5.815017951472726,0.0
Symbiotic,-,Restaking,Ethereum,300880977.47705126,1.3716933288257565,-10.328736119575225,0.0
Quickswap Dex,QUICK,Dexs,"Polygon, Base",298453744.2921437,-2.034768096988117,-11.140238824984266,0.0
Aave Horizon RWA,AAVE,RWA Lending,Ethereum,294097833.8948541,-1.0745547902901649,-0.936930244395171,0.0
Euler V2,EUL,Lending,"Ethereum, Monad, Plasma, Base, Avalanche, BOB, Hyperliquid L1, Arbitrum, Unichain, Sonic, Binance, Linea, Berachain, TAC, Swellchain, Mantle",292346254.0617601,0.6576124941075676,3.647281573289902,0.0
BounceBit CeDeFi Yield,-,Basis Trading,"BounceBit, Binance, Ethereum, Base, Solana",292186694.5848125,1.8421361448501443,-4.659293395324028,0.0
Lightning Network,-,Payments,Bitcoin,285457597.00116014,2.338815199971606,-5.498611688156487,0.0
Nexo,NEXO,CEX,"Ethereum, Binance, Polygon, Avalanche, Arbitrum, Optimism, Fantom",285178916.93333954,2.6703226778104607,-8.209284633029483,0.0
PancakeSwap AMM V3,CAKE,Dexs,"Binance, Ethereum, Base, Solana, Arbitrum, Monad, zkSync Era, Linea, Polygon zkEVM, Op_Bnb",284484579.9366507,1.7335092735700783,-0.8014260120384904,0.0
Phemex,PT,CEX,"Ethereum, Bitcoin, Solana, Ripple, Tron, Binance, Arbitrum, Avalanche, Base, Polygon, Optimism, zkSync Era, Linea, Sui, Fantom, Polkadot",277558085.03150976,1.0787116464719588,-4.037079538325401,0.0
Hyperliquid HLP,HYPE,Derivatives,Hyperliquid L1,271544626.0190496,-0.33123350759308323,-2.25738763174364,0.0
Linea Bridge,-,Canonical Bridge,Ethereum,265260009.05208096,3.4815466734775953,-5.829706909723157,0.0
Coinbase Wrapped Staked ETH,-,Liquid Staking,Ethereum,263012113.81286645,4.1555368570478635,-4.09687739522046,0.0
CIAN Yield Layer,-,Yield Aggregator,"Ethereum, Mantle, Arbitrum, Optimism, Base, Binance, Scroll",258335409.48375672,-5.756206040608319,-10.733037322019413,0.0
Re,-,RWA,"Ethereum, Base, Avalanche, Arbitrum",255859371.65029284,-0.739355372191767,-4.011836858585426,0.0
K3 Capital,-,Risk Curators,"Monad, Ethereum, Avalanche, Plasma, Arbitrum, Binance, Unichain, BOB",252830866.533736,1.63411088881125,9.108624669694109,0.0
Upshift,-,Onchain Capital Allocator,"Ethereum, Flare, Fluent, Monad, Stellar, Hyperliquid L1, Avalanche, Plasma, Mezo, Base, Binance, Ink, Sui",252788293.3789854,-0.2407994472869035,-2.434122819778125,0.0
Bedrock uniBTC,BR,Anchor BTC,"Bitcoin, Ethereum, Merlin, Binance, Mantle, Arbitrum, Berachain, Bitlayer, BSquared, ZetaChain, Optimism, RSK, Mode, Base, Hemi, TAC, Taiko, BOB",250539275.30914867,1.6856606432409365,-5.6840043027735305,0.0
Free Protocol,-,Bridge,"Merlin, Ethereum, Arbitrum, Binance, Manta, Kroma, Hemi, Polygon",244653057.17933542,2.6381477481465225,-8.660619040827314,0.0
xDAI Stake Bridge,STAKE,Canonical Bridge,Ethereum,240323813.72937158,1.2789436803908956,-4.1389424898959675,0.0
Orca DEX,ORCA,Dexs,"Solana, Eclipse",238533896.27749702,1.4209130360828937,-1.8163135697245707,0.0
Fluid DEX,FLUID,Dexs,"Ethereum, Plasma, Arbitrum, Base, Polygon",229280503.37968037,0.9947029009334472,-5.207051755716961,0.0
AFI Protocol,-,Farm,"Base, Ethereum, Monad",225339994.78627753,0.027933689351456792,-0.005318145377941619,0.0
cap,-,Lending,Ethereum,220519350.7210336,0.6296102665678518,-10.826243152106443,0.0
Nexus BTC,-,Bridge,Bitcoin,218090520.37148988,1.0978586525662877,-5.606039453760204,0.0
Stader,SD,Liquid Staking,"Ethereum, Hedera, Binance, Fantom, Terra2, Near",217662403.10392326,2.9266464914030337,-7.4245675905548865,0.0
PumpSwap,PUMP,Dexs,Solana,216328468.65017822,6.365318816885605,4.012454776689395,0.0
OpenEden TBILL,-,RWA,"Binance, Ethereum, Ripple, Solana, Arbitrum",213121785.9226747,-0.4128436458083655,-0.38185969657578767,0.0
BitFi Basis,-,Basis Trading,"Binance, Ethereum, Hemi, Base, CORE, Bitlayer",210146995.05770338,2.588660050050322,-5.045331243718337,0.0
SUNSwap V3,SUN,Dexs,Tron,209797382.80020386,-0.377771815073217,-0.6993390047384906,0.0
OpenTrade,-,RWA,"Avalanche, Ethereum, Plume Mainnet",209118543.927379,1.0935010742811215,7.2664313503689755,0.0
GTBTC,-,Restaked BTC,Bitcoin,208064964.86001343,2.6505637178443067,-5.346917195924547,0.0
OnRe,-,RWA,Solana,203467872.88378218,0.11593390216020794,6.47186871433621,0.0
Drift Staked SOL,DRIFT,Liquid Staking,Solana,200745866.0326577,8.10365934392756,3.084928585420684,0.0
UniRouter,URO,Bridge,BSquared,200649305.63022855,2.166890560227145,-5.091349720827168,0.0
Pareto Credit,-,RWA Lending,"Ethereum, Polygon, Arbitrum, Optimism",198571568.13282782,2.612782476623579,4.788287115433576,0.0
USD AI,CHIP,RWA Lending,Arbitrum,195917142.91601416,-0.0646425880963335,0.871710789339204,0.0
b14g,-,Restaking,"Bitcoin, CORE, Babylon Genesis",195499049.99392906,2.602760579022487,-5.125963249645437,0.0
Lombard BTC.b,BARD,Bridge,Bitcoin,193750370.97745526,0.5125654049209345,-5.800306330023801,0.0
